time,geohash,P1,P2,temperature,humidity,pressure
2018-01-01T00:00:00Z,sx3wvzu7f6h,55,34,4,64,99161
2018-01-01T00:00:00Z,sx3wypu7fdn,103,51,9,53,99109
2018-01-01T00:00:00Z,sx86yxxv72r,265,130,0,78,94085
2018-01-01T00:00:00Z,sx2qvybw9tb,227,94,-1,93,96814
2018-01-01T00:00:00Z,sxdhz58xssf,187,110,4,67,100114
2018-01-01T00:00:00Z,sx99f4w2geb,23,11,3,69,97352
2018-01-01T00:00:00Z,sx3rq2qvw53,42,24,7,64,98556
2018-01-01T00:00:00Z,sx8dfgvfgj8,371,208,4,66,95532
2018-01-01T00:00:00Z,sx8dfvjgen8,493,223,1,75,95527
2018-01-01T00:00:00Z,sx8df8vvdxj,420,235,1,73,95155
2018-01-01T00:00:00Z,sx8df4x60ss,433,253,3,66,95172
2018-01-01T00:00:00Z,sx8dgdsrvr5,405,178,0,76,95273
2018-01-01T00:00:00Z,sx8dg00n2vm,341,142,1,75,94801
2018-01-01T00:00:00Z,sx3r0umvrwr,21,10,7,64,96518
2018-01-01T00:00:00Z,sx8df2jbd6g,265,148,3,64,95200
2018-01-01T00:00:00Z,sx8e477xs6y,454,190,1,79,95696
2018-01-01T00:00:00Z,sx8deq8zbd0,335,194,1,68,94902
2018-01-01T00:00:00Z,sx8e1s4nuus,501,290,1,84,95742
2018-01-01T00:00:00Z,sx8dctye08n,608,297,0,80,95261
2018-01-01T00:00:00Z,sx8ds00n45j,91,43,4,65,94504
2018-01-01T00:00:00Z,sx9dsdum2z3,35,20,6,64,96630